fecha,ayacucho,caicara,ciudad_bolivar,palua,precipitacion_mm_ciudad_bolivar,temp_media_c_ciudad_bolivar,humedad_especifica_ciudad_bolivar,humedad_suelo_ciudad_bolivar,precipitacion_mm_caicara,temp_media_c_caicara,humedad_especifica_caicara,humedad_suelo_caicara,precipitacion_mm_ayacucho,temp_media_c_ayacucho,humedad_especifica_ayacucho,humedad_suelo_ayacucho,precipitacion_mm_palua,temp_media_c_palua,humedad_especifica_palua,humedad_suelo_palua,evapotranpiracion_mm_ciudad_bolivar,evapotranpiracion_mm_caicara,evapotranpiracion_mm_ayacucho,evapotranpiracion_mm_palua,valor_del_niño
1981-01-01,42.54,26.04,6,2.76,0,25.13,15.34,0.51,0,25.01,14.92,0.69,0,27.61,13.27,0.61,0,25.27,15.53,0.54,7.49,5.35,0.01,5.88,-0.3
1981-01-02,42.6,26.02,5.88,2.55,0.69,25.45,16.01,0.5,0,25.31,15.45,0.68,0,27.72,13.8,0.61,4.97,25.15,16.55,0.53,7.4,5.08,0.01,4.57,-0.3
1981-01-03,42.64,26,5.8,2.5,0.9,25.63,16.39,0.5,0.02,25.89,16.15,0.68,0.03,28.05,14.52,0.61,3.07,24.92,16.35,0.54,6.9,4.46,0,4.2,-0.3
1981-01-04,42.65,25.98,5.76,2.44,0.66,24.91,15.88,0.5,0.01,25.38,15.74,0.68,0,28,13.9,0.6,6.01,24.41,16.15,0.54,5.29,4.05,0,3.87,-0.3
1981-01-05,42.65,25.96,5.71,2.25,2.33,25.32,16.19,0.5,0,25.79,15.93,0.67,0,28.71,14.23,0.6,2.71,25.09,16.18,0.54,6.1,4.35,0,4.99,-0.3
1981-01-06,42.59,25.94,5.63,2.22,0.58,25.9,16.39,0.49,0.05,26.11,16.14,0.67,0.04,28.84,14.49,0.6,0.35,25.72,16.29,0.54,6.75,3.98,0,5.57,-0.3
1981-01-07,42.5,25.93,5.57,2.17,0.05,25.92,16.21,0.49,0.01,25.83,16.07,0.67,0,28.81,14.12,0.6,0.34,25.53,16.18,0.53,6.59,3.03,0,4.85,-0.3
1981-01-08,42.41,25.91,5.51,2.11,0.04,25.81,15.63,0.49,0,25.94,15.76,0.66,0,29.14,13.94,0.6,0.09,25.48,15.15,0.53,7.19,3.39,0,5.72,-0.3
1981-01-09,42.31,25.78,5.44,2.1,0.02,24.85,14.71,0.48,0,25.74,14.84,0.66,0,29.04,13.25,0.6,0.64,24.79,15.1,0.52,6.1,3.95,0,4.74,-0.3
1981-01-10,42.06,25.69,5.4,1.98,0.04,25.83,15.26,0.48,0,25.38,14.92,0.66,0,28.54,12.11,0.6,0.12,25.85,15.21,0.52,7.32,3.34,0,5.15,-0.3
1981-01-11,41.96,25.61,5.36,2.08,0.45,25.79,15.24,0.48,0,26.16,15.25,0.65,0,29.18,13.37,0.6,0.56,25.88,15.22,0.51,6.17,3.23,0,4.96,-0.3
1981-01-12,41.96,25.5,5.34,2.08,1.65,26.04,15.17,0.47,0,26.26,15.11,0.65,0,29.33,13.18,0.6,0.28,26.32,15.67,0.51,7.08,2.87,0,4.57,-0.3
1981-01-13,41.89,25.38,5.3,2.12,2.55,25.9,15.42,0.47,0,26.51,15.21,0.65,0.01,29.55,13.7,0.6,0.25,25.47,15.16,0.5,6.94,2.48,0,4.1,-0.3
1981-01-14,41.83,25.27,5.21,2,1.82,25.32,15.31,0.47,0.14,25.94,14.78,0.64,0.01,29.09,12.93,0.6,0.24,25.51,15.14,0.5,6.2,1.97,0,4.3,-0.3
1981-01-15,41.79,25.16,5.13,1.95,0.32,26.01,15.58,0.47,0,26.18,15.03,0.64,0,28.93,13.11,0.6,0.29,26.11,15.57,0.5,6.89,1.81,0,4.11,-0.3
1981-01-16,41.83,25.08,5.03,1.88,0.11,26.53,15.31,0.46,0,26.57,15.33,0.64,0,29.04,13.91,0.6,1.04,25.79,15.16,0.49,7.13,1.69,0,4.08,-0.3
1981-01-17,41.69,25.01,4.9,1.76,0.15,25.54,14.21,0.46,0,26.18,14.1,0.64,0,29.15,12.22,0.6,1.23,25.19,14.31,0.49,6.82,1.62,0,3.86,-0.3
1981-01-18,41.63,24.96,4.76,1.59,0,25.53,14.03,0.46,0,26.01,13.64,0.63,0,28.73,11.59,0.6,0,25.64,13.8,0.49,7.13,1.42,0,4.38,-0.3
1981-01-19,41.57,24.88,4.65,1.54,0,25.39,13.24,0.45,0,26.08,13.51,0.63,0,28.35,11.68,0.6,0,25.32,13.33,0.48,7.06,1.18,0,4.25,-0.3
1981-01-20,41.5,24.8,4.55,1.5,0,25.14,13.38,0.45,0,25.83,12.81,0.63,0,28.64,11,0.6,0,25.24,13.69,0.48,6.43,1,0,3.83,-0.3
1981-01-21,41.43,24.76,4.46,1.5,0,25.28,13.42,0.45,0,25.71,13.03,0.63,0,28.19,10.74,0.6,0,25.5,13.74,0.48,6.53,0.9,0,3.65,-0.3
1981-01-22,41.35,24.65,4.38,1.44,0.34,25.68,14.28,0.44,0,25.98,13.73,0.62,0,28.72,11.59,0.59,0.35,25.78,14.46,0.47,6.17,0.74,0,3.29,-0.3
1981-01-23,41.27,24.6,4.3,1.4,0.13,26.08,14.08,0.44,0,26.69,14.24,0.62,0,29.27,12.4,0.59,0.06,25.82,13.96,0.47,6.26,0.65,0,3.35,-0.3
1981-01-24,41.2,24.49,4.21,1.36,0.51,26.15,14.12,0.44,0,26.79,14.01,0.62,0,29.22,12.05,0.59,0.1,26.27,13.94,0.47,6.05,0.57,0,3.29,-0.3
1981-01-25,41.17,24.41,4.11,1.34,0.2,26.67,15.15,0.43,0,26.91,14.74,0.62,0,29.4,12.84,0.59,0.45,26.72,14.8,0.47,5.39,0.45,0,3.05,-0.3
1981-01-26,41.05,24.36,4.01,1.17,0.08,27.31,15.21,0.43,0,27.85,15.07,0.62,0,30.28,13.6,0.59,0.76,26.78,15.27,0.46,5.32,0.39,0,2.82,-0.3
1981-01-27,40.97,24.28,3.93,1.16,0.48,27.46,15.66,0.43,0.01,27.81,15.29,0.61,0,30.49,13.42,0.59,0.62,27.18,15.52,0.46,4.72,0.32,0,2.61,-0.3
1981-01-28,40.91,24.2,3.89,1.1,0.15,27.27,15.3,0.43,0.01,27.82,15.5,0.61,0.01,30.29,14.08,0.59,0.06,27.39,15.02,0.46,3.87,0.25,0,2.68,-0.3
1981-01-29,40.86,24.15,3.84,1.06,0.05,27.65,15.27,0.43,0,28.29,14.97,0.61,0,30.7,13.26,0.59,0.04,27.22,15.03,0.46,4.77,0.23,0,2.71,-0.3
1981-01-30,40.8,24.08,3.74,1.01,0,27.05,14.2,0.42,0,27.59,14.73,0.61,0,29.68,13.72,0.59,0.08,26.74,14.33,0.46,3.76,0.16,0,2.6,-0.3
1981-01-31,40.75,24.03,3.61,0.96,0.36,26.63,14.36,0.42,0,27.47,14.2,0.61,0,29.85,12.71,0.59,0.21,26.3,14.56,0.45,3.47,0.13,0,2.26,-0.3
1981-02-01,40.7,23.97,3.51,0.98,0.13,27.78,13.87,0.42,0,27.8,14.06,0.61,0,29.79,12.87,0.59,0.03,27.51,13.97,0.45,4.36,0.14,0,2.69,-0.5
1981-02-02,40.65,23.93,3.48,0.97,0,26.59,13.69,0.42,0,27.56,13.74,0.6,0,29.72,12.52,0.59,0.08,26.37,13.55,0.45,2.95,0.09,0,2.53,-0.5
1981-02-03,40.62,23.87,3.4,1,0.03,26.41,12.96,0.42,0,26.91,12.53,0.6,0,28.78,11.07,0.59,0.11,26.16,13.16,0.45,3.58,0.09,0,2.46,-0.5
1981-02-04,40.59,23.81,3.4,1.02,2.06,26.64,13.55,0.42,0,27.17,13,0.6,0,28.76,11.34,0.59,1.9,26.58,13.66,0.45,3.49,0.09,0,2.36,-0.5
1981-02-05,40.56,23.77,3.4,1.02,0.56,26.93,14.59,0.42,0,28.07,13.57,0.6,0,29.89,12.32,0.59,1.08,26.77,14.72,0.45,3.59,0.08,0,2.19,-0.5
1981-02-06,40.54,23.73,3.4,1.04,0.05,27.53,14.13,0.41,0,27.9,14.26,0.6,0,30.23,13.1,0.59,0.38,26.83,14.09,0.44,3.57,0.05,0,2.17,-0.5
1981-02-07,40.52,23.69,3.4,1.04,0,27.18,12.45,0.41,0,28.19,12.1,0.6,0,30.32,11.18,0.59,0.02,26.59,13.01,0.44,3.56,0.06,0,2.32,-0.5
1981-02-08,40.5,23.66,3.4,1.02,0.03,27.31,12.8,0.41,0,27.52,12.65,0.6,0,29.08,11.4,0.59,0,27.27,13.39,0.44,3.41,0.05,0,2.24,-0.5
1981-02-09,40.5,23.63,3.35,0.96,0.27,27.73,14.3,0.41,0,28.83,13.58,0.6,0,30.17,12.28,0.59,1.2,27.08,14.52,0.44,2.87,0.05,0,2.05,-0.5
1981-02-10,40.5,23.59,3.2,0.96,0.05,27.69,13.82,0.41,0,28.99,13.01,0.6,0,30.11,12.09,0.59,0.12,26.97,13.9,0.44,2.89,0.04,0,2.16,-0.5
1981-02-11,40.5,23.57,3.2,0.97,0.06,27.21,13.27,0.4,0,28.7,12.31,0.6,0,30.08,11.35,0.59,0.04,26.65,13.36,0.43,2.67,0.04,0,1.98,-0.5
1981-02-12,40.49,23.53,3.2,0.88,0,27.32,12.71,0.4,0,28.67,12.42,0.6,0,30.12,11.77,0.59,0.09,26.78,13.15,0.43,2.65,0.03,0,1.97,-0.5
1981-02-13,40.48,23.49,3.18,0.83,0.01,26.85,12.66,0.4,0,28.13,12.95,0.59,0,30.08,12.28,0.59,0.21,26.69,13.38,0.43,2.1,0.03,0,1.74,-0.5
1981-02-14,40.46,23.46,3.11,0.82,0.28,28.09,14.49,0.4,0,28.78,13.62,0.59,0,30.15,12.26,0.59,0.22,28.41,14.55,0.43,2.32,0.03,0,1.66,-0.5
1981-02-15,40.43,23.45,3.07,0.82,0.49,27.54,14.42,0.4,0,28.83,14.06,0.59,0,30.77,13.07,0.59,0.32,27.86,14.74,0.43,1.77,0.02,0,1.5,-0.5
1981-02-16,40.41,23.42,3.07,0.77,0.03,28.5,15,0.4,0,28.99,14.5,0.59,0,31.06,13.52,0.59,0.06,28.46,15.19,0.43,2.06,0.01,0,1.51,-0.5
1981-02-17,40.39,23.4,3.05,0.8,0.24,28.9,15.19,0.4,0.49,29.54,14.44,0.59,0.32,31.24,13.76,0.59,3.28,28.22,15.64,0.43,1.93,0.02,0,1.41,-0.5
1981-02-18,40.37,23.37,3,0.84,1.3,28.52,15.52,0.4,0.02,29.4,14.53,0.59,0.03,30.26,14.01,0.59,2.88,27.34,16.16,0.43,1.8,0.01,0,1.22,-0.5
1981-02-19,40.34,23.35,2.89,0.86,2.54,26.59,16.15,0.4,0.05,28.75,15.09,0.59,0.18,30.23,14.48,0.59,1.53,26.18,16.03,0.43,0.9,0.01,0,1.06,-0.5
1981-02-20,40.37,23.34,2.99,0.83,2.67,27.63,15.74,0.4,0.83,29.72,14.43,0.59,9.06,30.37,14.31,0.6,2.38,27.54,15.29,0.43,1.84,0.02,0,1.39,-0.5
1981-02-21,40.37,23.34,3,0.81,3.21,27.19,15.92,0.41,12.68,28.2,16.12,0.6,8.75,28.53,16.51,0.61,1.42,26.38,15.61,0.43,1.59,0.02,0,1.07,-0.5
1981-02-22,40.39,23.34,2.99,0.78,1.61,28.35,15.97,0.41,4.68,28.4,16.72,0.62,7.67,28.29,17.02,0.63,17.47,27.46,16.69,0.44,2.4,0.42,0.16,1.18,-0.5
1981-02-23,40.47,23.35,2.91,0.78,0.55,28.54,16.84,0.41,2.53,29.22,17.25,0.62,8.17,28.65,17.02,0.64,8.44,27.69,17.46,0.47,1.91,0.37,0.23,2.27,-0.5
1981-02-24,40.56,23.39,2.9,0.8,1.7,27.62,17.04,0.41,3.33,28.48,17.37,0.62,4.9,28.91,17.71,0.64,3.11,27.12,17.27,0.47,1.06,0.2,0.25,1.8,-0.5
1981-02-25,40.63,23.43,2.9,0.79,0.7,28.25,16.26,0.41,10.96,28.09,16.93,0.63,17.79,28.1,17.22,0.66,0.63,27.84,16.41,0.46,1.78,0.45,0.49,2.46,-0.5
1981-02-26,40.72,23.52,2.9,0.8,0.67,28.84,15.6,0.4,1.04,27.25,16.56,0.64,1.67,27.11,16.75,0.67,0.79,27.79,15.92,0.46,2.03,0.43,0.64,2.3,-0.5
1981-02-27,40.84,23.59,2.9,0.76,1.13,28.27,15.83,0.4,0.06,28.77,16.06,0.63,0.21,28.65,16.52,0.66,1.83,26.89,16.53,0.45,1.84,0.59,0.76,1.71,-0.5
1981-02-28,41.08,23.61,2.9,0.71,1.7,28.91,16.11,0.4,0.13,29.27,16.13,0.62,0.03,29,16.3,0.66,0.7,28.09,16.26,0.45,1.93,0.41,0.68,1.92,-0.5
1981-03-01,41.22,23.86,2.9,0.8,0.43,29.02,15.84,0.4,0.03,28.11,16.49,0.62,0.81,28.09,16.82,0.65,0.74,28.36,15.7,0.45,1.85,0.17,0.38,1.97,-0.5
1981-03-02,41.22,23.99,2.9,1,0.05,29.19,15.17,0.4,2.58,28.5,16.24,0.62,2.7,28.15,16.6,0.65,0.22,28.43,15.48,0.44,2.07,0.16,0.37,1.86,-0.5
1981-03-03,41.35,24.18,2.9,1.08,0.04,29.98,15.56,0.39,1.26,29.14,17.08,0.62,2.89,29.08,17.5,0.65,0,28.98,15.59,0.44,1.96,0.23,0.56,1.71,-0.5
1981-03-04,41.46,24.41,3.03,1.13,0,30.29,15.15,0.39,12.04,28.62,17.36,0.63,14.09,28.39,18.15,0.66,0,29.14,15.21,0.44,1.75,0.19,0.4,1.64,-0.5
1981-03-05,41.59,24.64,3.56,1.25,0,30.03,13.94,0.39,0.1,29.32,15.26,0.63,1.24,29.36,16.63,0.67,0,28.87,14.56,0.43,1.68,0.99,1.47,1.47,-0.5
1981-03-06,41.74,24.89,3.84,1.39,0.02,30.09,14.38,0.39,0.04,29.39,16.15,0.63,0.02,29.28,16.64,0.67,0,29.2,14.64,0.43,1.46,0.57,1.29,1.44,-0.5
1981-03-07,41.88,25.18,4.11,1.5,1.05,30.38,14.99,0.39,0,30.15,16.1,0.62,0.03,30.03,16.53,0.66,0.02,29.45,14.71,0.43,1.43,0.41,1.11,1.26,-0.5
1981-03-08,41.98,25.39,4.38,1.6,0.78,30.52,14.5,0.39,0,30.06,15.42,0.61,0,29.93,16.25,0.65,0.06,29.37,14.73,0.43,1.34,0.23,0.72,1.34,-0.5
1981-03-09,42.12,25.56,4.61,1.63,0.27,30.5,13.89,0.38,0,30.34,14.3,0.61,0,30.16,14.92,0.65,2.63,28.52,14.95,0.43,1.28,0.16,0.62,1.16,-0.5
1981-03-10,42.26,25.73,4.78,1.74,0.49,29.55,13.62,0.38,1.56,29.67,13.94,0.61,6.43,28.63,14.3,0.65,0.89,28.03,14.59,0.43,1.12,0.11,0.45,1.06,-0.5
1981-03-11,42.37,25.99,4.9,1.75,0.21,28.96,13.41,0.38,0.12,28.55,13.56,0.6,0.24,28.39,13.79,0.65,0.02,27.72,14.08,0.43,0.95,0.06,0.55,1.13,-0.5
1981-03-12,42.4,26.09,5,1.75,0.01,29.14,12.37,0.38,0,28.5,12.63,0.6,0,27.84,13.6,0.64,0.24,27.74,13.29,0.42,1.02,0.07,0.36,1.2,-0.5
1981-03-13,42.46,26.12,5.11,1.76,0,28.95,11.2,0.38,0,29,11.58,0.6,0,28.49,12.53,0.64,0,27.72,12.4,0.42,1.02,0.06,0.42,1.17,-0.5
1981-03-14,42.46,26.12,5.26,1.81,0,28.59,10.73,0.38,0,29.32,11.54,0.6,0,28.5,12.49,0.63,0,27.63,11.47,0.42,0.97,0.05,0.32,1.16,-0.5
1981-03-15,42.44,26.1,5.4,1.88,0,28.6,11.47,0.38,0,29.47,11.47,0.6,0,29.12,12.48,0.63,0.01,27.69,12.1,0.42,0.93,0.04,0.25,1.08,-0.5
1981-03-16,42.39,26.03,5.48,1.92,0,28.95,11.56,0.38,0,29.64,11.3,0.6,0,29.17,12.45,0.62,0,28.07,12.11,0.42,0.9,0.03,0.17,0.98,-0.5
1981-03-17,42.36,25.97,5.53,2.08,2.84,29.37,13.02,0.38,0,30.59,12.47,0.59,0,30.32,13.03,0.62,0.19,28.68,13.3,0.42,0.83,0.02,0.14,0.97,-0.5
1981-03-18,42.31,25.89,5.51,2,0.07,29.61,12.55,0.38,0,30.25,12.37,0.59,0,30.45,13.13,0.61,0.03,28.97,12.2,0.42,0.79,0.01,0.08,0.9,-0.5
1981-03-19,42.25,25.82,5.44,1.96,0,30.11,12.6,0.38,0,30.85,12.7,0.59,0,30.69,13.3,0.61,0.04,29.4,13.24,0.41,0.83,0.01,0.05,0.85,-0.5
1981-03-20,42.21,25.75,5.34,1.88,0,31,14.02,0.38,0,31.68,13.4,0.59,0,31.81,13.86,0.61,0.01,30.02,14.18,0.41,0.81,0.01,0.03,0.72,-0.5
1981-03-21,42.11,25.68,5.26,1.85,0,31.77,13.87,0.37,0,31.39,13.71,0.59,0,31.88,13.6,0.61,0.01,30.03,13.88,0.41,0.82,0,0.01,0.75,-0.5
1981-03-22,42.06,25.57,5.17,1.85,0,30.76,12.78,0.37,0,31.3,13.6,0.59,0,31.98,13.01,0.6,0.01,29.21,13.06,0.41,0.84,0,0,0.84,-0.5
1981-03-23,41.88,25.47,5.07,1.7,0,30.17,11.81,0.37,0,30.99,11.68,0.59,0,31.29,12.08,0.6,0.02,28.96,12.63,0.41,0.78,0,0,0.75,-0.5
1981-03-24,41.72,25.32,4.98,1.65,0,30.31,11.87,0.37,0,31.19,11.77,0.59,0,31.59,11.73,0.6,0,29.49,13.37,0.41,0.73,0,0,0.7,-0.5
1981-03-25,41.61,25.2,4.88,1.6,0,31.26,12.3,0.37,0,31.83,12.09,0.59,0,32.37,11.4,0.6,0,29.67,13.21,0.41,0.74,0,0,0.71,-0.5
