fecha,Bolivar,caicara,ayacucho,palua
1981-01-01,15.34,14.92,13.27,15.53
1981-01-02,16.01,15.45,13.8,16.55
1981-01-03,16.39,16.15,14.52,16.35
1981-01-04,15.88,15.74,13.9,16.15
1981-01-05,16.19,15.93,14.23,16.18
1981-01-06,16.39,16.14,14.49,16.29
1981-01-07,16.21,16.07,14.12,16.18
1981-01-08,15.63,15.76,13.94,15.15
1981-01-09,14.71,14.84,13.25,15.1
1981-01-10,15.26,14.92,12.11,15.21
1981-01-11,15.24,15.25,13.37,15.22
1981-01-12,15.17,15.11,13.18,15.67
1981-01-13,15.42,15.21,13.7,15.16
1981-01-14,15.31,14.78,12.93,15.14
1981-01-15,15.58,15.03,13.11,15.57
1981-01-16,15.31,15.33,13.91,15.16
1981-01-17,14.21,14.1,12.22,14.31
1981-01-18,14.03,13.64,11.59,13.8
1981-01-19,13.24,13.51,11.68,13.33
1981-01-20,13.38,12.81,11.0,13.69
1981-01-21,13.42,13.03,10.74,13.74
1981-01-22,14.28,13.73,11.59,14.46
1981-01-23,14.08,14.24,12.4,13.96
1981-01-24,14.12,14.01,12.05,13.94
1981-01-25,15.15,14.74,12.84,14.8
1981-01-26,15.21,15.07,13.6,15.27
1981-01-27,15.66,15.29,13.42,15.52
1981-01-28,15.3,15.5,14.08,15.02
1981-01-29,15.27,14.97,13.26,15.03
1981-01-30,14.2,14.73,13.72,14.33
1981-01-31,14.36,14.2,12.71,14.56
1981-02-01,13.87,14.06,12.87,13.97
1981-02-02,13.69,13.74,12.52,13.55
1981-02-03,12.96,12.53,11.07,13.16
1981-02-04,13.55,13.0,11.34,13.66
1981-02-05,14.59,13.57,12.32,14.72
1981-02-06,14.13,14.26,13.1,14.09
1981-02-07,12.45,12.1,11.18,13.01
1981-02-08,12.8,12.65,11.4,13.39
1981-02-09,14.3,13.58,12.28,14.52
1981-02-10,13.82,13.01,12.09,13.9
1981-02-11,13.27,12.31,11.35,13.36
1981-02-12,12.71,12.42,11.77,13.15
1981-02-13,12.66,12.95,12.28,13.38
1981-02-14,14.49,13.62,12.26,14.55
1981-02-15,14.42,14.06,13.07,14.74
1981-02-16,15.0,14.5,13.52,15.19
1981-02-17,15.19,14.44,13.76,15.64
1981-02-18,15.52,14.53,14.01,16.16
1981-02-19,16.15,15.09,14.48,16.03
1981-02-20,15.74,14.43,14.31,15.29
1981-02-21,15.92,16.12,16.51,15.61
1981-02-22,15.97,16.72,17.02,16.69
1981-02-23,16.84,17.25,17.02,17.46
1981-02-24,17.04,17.37,17.71,17.27
1981-02-25,16.26,16.93,17.22,16.41
1981-02-26,15.6,16.56,16.75,15.92
1981-02-27,15.83,16.06,16.52,16.53
1981-02-28,16.11,16.13,16.3,16.26
1981-03-01,15.84,16.49,16.82,15.7
1981-03-02,15.17,16.24,16.6,15.48
1981-03-03,15.56,17.08,17.5,15.59
1981-03-04,15.15,17.36,18.15,15.21
1981-03-05,13.94,15.26,16.63,14.56
1981-03-06,14.38,16.15,16.64,14.64
1981-03-07,14.99,16.1,16.53,14.71
1981-03-08,14.5,15.42,16.25,14.73
1981-03-09,13.89,14.3,14.92,14.95
1981-03-10,13.62,13.94,14.3,14.59
1981-03-11,13.41,13.56,13.79,14.08
1981-03-12,12.37,12.63,13.6,13.29
